Site Pt,Area,Northing,Easting,Date Time,CH4 flux,H2S flux,CO2 flux,Pressure,Temp,CH4 slope,H2S slope,CO2 slope
BasinCreek060916_196,BC-CJ,1211944,2304934,9/6/16 12:43,1.23,0,0.71,783.8,45,5.331,0.011,3.064
BasinCreek060916_197,BC-CJ,1211955,2304955,9/6/16 12:45,0.48,0,1.04,783.9,45.1,2.071,0.004,4.528
BasinCreek060916_198,BC-CJ,1211943,2304996,9/6/16 12:48,0.56,0,0.29,783.9,45.2,2.451,0.007,1.246
BasinCreek060916_199,BC-CJ,1211933,2305078,9/6/16 12:52,0,0.01,0.14,784.2,45.4,-0.136,0.026,0.605
BasinCreek060916_200,BC-CJ,1211913,2304740,9/6/16 12:58,0,0.01,1.1,784.7,45.5,0,0.052,4.769
BasinCreek060916_201,BC-CJ,1211782,2304604,9/6/16 13:03,0,0.01,0.12,785,45.5,-0.102,0.03,0.509
BasinCreek060916_202,BC-CJ,1211773,2304822,9/6/16 13:08,0,0.01,0.07,786.3,45.6,-0.038,0.031,0.305
BasinCreek060916_203,BC-CJ,1211789,2305011,9/6/16 13:13,0,0.01,0.25,784.8,45.6,-2.303,0.065,1.093
BasinCreek060916_204,BC-CJ,1211780,2305124,9/6/16 13:17,0,0,0.09,785,45.6,-0.349,0.017,0.389
BasinCreek060916_205,BC-CJ,1211565,2304956,9/6/16 13:22,0,0.01,0.29,786.2,45.5,-0.58,0.045,1.272
BasinCreek060916_206,BC-CJ,1211527,2304741,9/6/16 13:26,0,0.02,0.25,786.6,45.3,-0.084,0.103,1.084
BasinCreek060916_207,BC-CJ,1211548,2304615,9/6/16 13:31,0,0.01,1.34,785.9,45,-2.26,0.034,5.783
BasinCreek060916_208,BC-CJ,1211406,2304772,9/6/16 13:35,0,0.01,1.17,787.3,44.7,0,0.042,5.052
BasinCreek060916_209,BC-CJ,1211357,2305023,9/6/16 13:40,0,0.01,0.18,786.6,44.4,0,0.041,0.776
BasinCreek060916_210,BC-CJ,1211239,2304988,9/6/16 13:44,0,0.01,0.22,787.3,44.1,0,0.047,0.957
BasinCreek060916_211,BC-CJ,1211339,2304641,9/6/16 13:50,0,0,0.82,787.9,43.8,-0.162,0.015,3.531
BasinCreek060916_212,BC-CJ,1211207,2304775,9/6/16 13:54,0,0.01,0.17,788.3,43.4,0,0.037,0.747
BasinCreek060916_213,BC-CJ,1211130,2304655,9/6/16 13:58,0,0.01,0.17,787.5,43.2,0,0.06,0.748
BasinCreek060916_214,BC-CJ,1210972,2304993,9/6/16 14:05,0,0,0.14,789.4,42.9,0,0.011,0.608
BasinCreek060916_215,BC-CJ,1210914,2304811,9/6/16 14:08,0,0.01,0.29,790.4,42.6,-1.679,0.058,1.242
BasinCreek060916_216,BC-CJ,1210937,2304644,9/6/16 14:12,0,0.01,0.75,791.7,42.4,0,0.044,3.177
BasinCreek060916_217,BC-CJ,1210809,2305015,9/6/16 14:19,0,0,0,790.8,42.3,0,0.007,-0.181
BasinCreek060916_218,BC-CJ,1210698,2304782,9/6/16 14:23,0,0,0,791.6,42.1,0,0.008,-0.114
BasinCreek060916_219,BC-CJ,1210748,2304585,9/6/16 14:26,0,0,0.29,792.6,41.9,0,0.005,1.246
BasinCreek060916_220,BC-CJ,1210736,2304438,9/6/16 14:32,0,0.01,0.06,793,41.8,-1.429,0.027,0.264
BasinCreek061016_221,BC-CJ,1212325,2305129,10/6/16 8:48,0,0,0.46,787.4,27.5,0,0,1.891
BasinCreek061016_222,BC-CJ,1212315,2305326,10/6/16 8:53,0,0,0.58,787.4,27.9,0,0,2.376
BasinCreek061016_223,BC-CJ,1212393,2305567,10/6/16 8:58,0,0,0.13,789.8,28.4,0,0,0.53
BasinCreek061016_224,BC-CJ,1212199,2305593,10/6/16 9:02,0,0,0.09,788.6,28.7,0,0,0.36
BasinCreek061016_225,BC-CJ,1212509,2305781,10/6/16 9:06,5.99,0,4.7,790.2,29.1,24.493,0,19.204
BasinCreek061016_226,BC-CJ,1212325,2305812,10/6/16 9:10,0,0,0.41,789.8,29.5,0,0,1.661
BasinCreek061016_227,BC-CJ,1212311,2305997,10/6/16 9:14,0,0,2.55,791,29.8,0,0.001,10.44
BasinCreek061016_228,BC-CJ,1212495,2306050,10/6/16 9:20,0,0,0.43,791.9,30.6,0,0,1.783
BasinCreek061016_229,BC-CJ,1212775,2305987,10/6/16 9:34,0,0,0.62,794.5,32.2,0,0,2.544
BasinCreek061016_230,BC-CJ,1212924,2306023,10/6/16 9:39,0,0,0.8,791.4,32.6,0,0.001,3.298
BasinCreek061016_231,BC-CJ,1212968,2306131,10/6/16 9:42,0,0,0.25,790.3,33,0,0.001,1.054
BasinCreek061016_232,BC-CJ,1213206,2306223,10/6/16 9:47,0,0,0.23,791.4,33.7,-0.007,0,0.972
BasinCreek061016_233,BC-CJ,1213178,2306356,10/6/16 9:51,0,0,0.13,790.2,34.2,0,0,0.522
BasinCreek061016_234,BC-CJ,1213296,2306153,10/6/16 10:01,0,0,0.27,789.6,34.9,0,0,1.111
BasinCreek061016_235,BC-CJ,1213364,2306394,10/6/16 10:05,0,0,0.38,789.6,35.7,0,0,1.602
BasinCreek061016_236,BC-CJ,1213312,2306526,10/6/16 10:09,0,0,0.19,792,36.1,0,0,0.8
BasinCreek061016_237,BC-CJ,1213549,2306377,10/6/16 10:15,0,0,0.5,792.4,36.3,0,0,2.086
BasinCreek061016_238,BC-CJ,1213574,2306582,10/6/16 10:20,0,0,0.13,790.2,36.4,0,0,0.564
BasinCreek061016_239,BC-CJ,1213710,2306594,10/6/16 10:24,0,0,0.59,789.3,36.6,0,0,2.465
BasinCreek061016_240,BC-CJ,1213971,2306735,10/6/16 10:31,0,0,0.8,788.3,37.2,0,0.001,3.375
BasinCreek061016_241,BC-CJ,1213957,2306573,10/6/16 10:36,0,0,0.11,787.1,37.8,0,0,0.471
BasinCreek061016_242,BC-CJ,1214113,2306781,10/6/16 10:42,0,0,0.21,787,38.5,-0.019,0.001,0.892
BasinCreek061016_243,BC-CJ,1214247,2306913,10/6/16 10:48,0,0,0.86,785.5,39,0,0,3.675
BasinCreek061016_244,BC-CJ,1214335,2307052,10/6/16 10:55,0,0,0.53,784.8,39.4,0,0,2.278
BasinCreek061016_245,BC-CJ,1214430,2307121,10/6/16 11:00,0,0,1.82,784.6,39.5,0,0,7.764
BasinCreek061016_246,BC-CJ,1214612,2307065,10/6/16 11:06,1.77,0,2.02,783.2,39.6,7.552,0,8.619
BasinCreek061016_247,BC-CJ,1214750,2306935,10/6/16 11:13,1.91,0,1.89,782,39.8,8.172,0,8.102
BasinCreek061016_248,BC-CJ,1214756,2306837,10/6/16 11:17,0,0,0.49,780.9,40,0,0,2.084
BasinCreek061016_249,BC-CJ,1214916,2306757,10/6/16 11:22,0,0,0,782.4,40.2,0,0,-0.443
BasinCreek061016_250,BC-CJ,1214947,2306584,10/6/16 11:27,0,0,0.17,782.4,40.4,0,0,0.742
BasinCreek061016_251,BC-CJ,1214759,2306553,10/6/16 11:31,0,0,0.37,781.7,40.5,-0.036,0,1.575
BasinCreek061016_252,BC-CJ,1214571,2306893,10/6/16 11:38,0,0,0.62,783.6,40.7,0,0,2.673
BasinCreek061016_253,BC-CJ,1214411,2306929,10/6/16 11:42,0,0,1.16,781.9,40.6,0,0,4.982
BasinCreek061016_254,BC-CJ,1214503,2306812,10/6/16 11:47,0,0,0.19,782.8,40.6,0,-0.001,0.803
BasinCreek061016_255,BC-CJ,1214368,2306740,10/6/16 12:10,0,0,0.2,782.8,40.2,0,-0.001,0.846
BasinCreek061016_256,BC-CJ,1214180,2306614,10/6/16 12:14,0,0,0.32,784.2,39.8,0,-0.001,1.382
BasinCreek061016_257,BC-CJ,1214423,2306560,10/6/16 12:22,2.62,0,0.74,786.6,39.3,11.116,0,3.141
BasinCreek061016_258,BC-CJ,1214548,2306697,10/6/16 12:29,0,0,0.83,786,39.6,0,0,3.546
BasinCreek061016_259,BC-CJ,1214528,2306535,10/6/16 12:32,0,0,0.23,783.8,39.7,0,-0.001,0.996
BasinCreek061016_260,BC-CJ,1214546,2306365,10/6/16 12:35,0,0,0.26,785.4,39.9,0,-0.001,1.118
BasinCreek061016_261,BC-CJ,1214374,2306340,10/6/16 12:41,0,0,0.1,785.4,40.3,0,-0.001,0.423
BasinCreek061016_262,BC-CJ,1214109,2306407,10/6/16 12:45,0,0,0.1,786.9,40.5,0,-0.001,0.42
BasinCreek061016_263,BC-CJ,1213962,2306387,10/6/16 12:49,0,0,0.05,788,40.7,0,-0.001,0.205
BasinCreek061016_264,BC-CJ,1213813,2306322,10/6/16 12:52,0,0,0.16,789.4,40.8,0,-0.001,0.672
BasinCreek061016_265,BC-CJ,1213684,2306192,10/6/16 13:06,0,0,0.15,790.1,41.5,0,-0.001,0.626
BasinCreek061016_266,BC-CJ,1213566,2306165,10/6/16 13:10,0,0,0.2,790,41.5,0,-0.001,0.867
BasinCreek061016_267,BC-CJ,1213481,2305929,10/6/16 13:16,0,0,1.19,790.2,41.7,0,-0.002,5.079
BasinCreek061016_268,BC-CJ,1213323,2306003,10/6/16 13:20,0,0,0.26,787.8,41.7,0,-0.001,1.118
BasinCreek061016_269,BC-CJ,1213234,2305801,10/6/16 13:25,0,0,0.64,787.8,41.9,0,-0.001,2.74
BasinCreek061016_270,BC-CJ,1213147,2305739,10/6/16 13:28,0,0,0.6,786.2,42,0,0,2.572
BasinCreek061016_271,BC-CJ,1213109,2305921,10/6/16 13:33,0,0,0.68,785.9,42.3,0,-0.003,2.924
BasinCreek061016_272,BC-CJ,1213162,2305529,10/6/16 13:40,1.66,0,1.56,787.4,42.7,7.1,0.003,6.686
BasinCreek061016_273,BC-CJ,1212981,2305578,10/6/16 13:49,0,0,0.24,786.9,43.4,-1.432,-0.002,1.046
BasinCreek061016_274,BC-CJ,1212956,2305784,10/6/16 13:56,0,0,0.1,788.7,43.9,0,-0.002,0.43
BasinCreek061016_275,BC-CJ,1212807,2305710,10/6/16 14:03,0,0,0.31,788.1,44.1,0,-0.001,1.334
BasinCreek061016_276,BC-CJ,1212788,2305633,10/6/16 14:08,0,0,0.67,789.7,44.1,0,-0.001,2.873
BasinCreek061016_277,BC-CJ,1212529,2305544,10/6/16 14:22,0,0,0,789.4,44.5,0,-0.001,-0.341
BasinCreek061016_278,BC-CJ,1212513,2305362,10/6/16 14:30,0,0,0.6,786.5,44.6,0,0.003,2.588
BasinCreek061016_279,BC-CJ,1212518,2305154,10/6/16 14:35,1.2,0,0.25,786.6,44.8,5.167,0.001,1.099
BasinCreek061016_280,BC-CJ,1212516,2304966,10/6/16 14:40,0,0,0.3,785.4,45,-0.006,-0.002,1.3
BasinCreek061316_281,BC-CJ,1212592,2304745,13-06-2016 08:58:28,0,0,0.2,783.6,27.9,0,0.014,0.804
BasinCreek061316_282,BC-CJ,1212762,2304762,13-06-2016 09:03:36,0,0.01,0.66,783.6,29,0,0.026,2.734
BasinCreek061316_283,BC-CJ,1212574,2304548,13-06-2016 09:10:21,0.62,0,3.02,782.9,30,2.569,0.02,12.502
BasinCreek061316_284,BC-CJ,1212604,2304421,13-06-2016 09:14:35,0,0,0.66,782.8,30.6,0,0.011,2.747
BasinCreek061316_285,BC-CJ,1212749,2304375,13-06-2016 09:18:33,0,0,1.53,782.8,31.2,0,0.014,6.362
BasinCreek061316_286,BC-CJ,1212774,2304511,13-06-2016 09:23:22,0,0,0.56,782.2,31.7,0,-0.005,2.314
BasinCreek061316_287,BC-CJ,1212925,2304770,13-06-2016 09:29:09,0,0,0.1,781.2,32.2,0,-0.006,0.426
BasinCreek061316_288,BC-CJ,1212982,2304839,13-06-2016 09:32:44,6.41,0,2.46,781.2,32.6,26.813,-0.005,10.309
BasinCreek061316_289,BC-CJ,1212960,2304907,13-06-2016 09:36:48,12.64,0,3.99,782,33.3,52.947,0.013,16.713
BasinCreek061316_290,BC-CJ,1212971,2304853,13-06-2016 09:42:23,5.68,0,2.37,783.2,34.3,23.846,-0.013,9.959
BasinCreek061316_291,BC-CJ,1213152,2304797,13-06-2016 09:48:38,7.6,0.02,5.4,782.2,35.8,32.091,0.075,22.784
BasinCreek061316_292,BC-CJ,1213138,2304730,13-06-2016 09:53:32,4.03,0,3.57,781.6,36.9,17.088,-0.011,15.15
BasinCreek061316_293,BC-CJ,1213391,2304750,13-06-2016 09:58:44,0,0,1.17,780.5,37.8,-0.588,0.011,4.966
BasinCreek061316_294,BC-CJ,1213416,2304808,13-06-2016 10:02:18,0,0,0.14,781.6,38.3,0,-0.002,0.588
BasinCreek061316_295,BC-CJ,1213167,2304575,13-06-2016 10:08:46,0.55,0,1.02,782.3,39,2.327,0.017,4.37
BasinCreek061316_296,BC-CJ,1212952,2304564,13-06-2016 10:15:00,5.41,0,2.38,779.7,39.4,23.171,0.008,10.189
BasinCreek061316_297,BC-CJ,1212932,2304389,13-06-2016 10:18:44,0,0.01,0.26,780.5,39.5,-0.595,0.037,1.122
BasinCreek061316_298,BC-CJ,1213154,2304342,13-06-2016 10:24:29,0,0,0.26,780.8,39.6,0,-0.002,1.107
BasinCreek061316_299,BC-CJ,1213374,2304422,13-06-2016 10:29:39,0,0,0.57,778.9,39.6,0,0.006,2.429
BasinCreek061316_300,BC-CJ,1213368,2304589,13-06-2016 10:33:23,0,0,0.96,778.5,39.6,0,-0.006,4.13
BasinCreek061316_301,BC-CJ,1213547,2304537,13-06-2016 10:38:51,0,0,0.13,779.3,39.8,0,0.004,0.577
BasinCreek061316_302,BC-CJ,1213393,2304149,13-06-2016 10:45:58,0,0,0.25,778.9,40,0,-0.003,1.064
BasinCreek061316_303,BC-CJ,1213499,2304157,13-06-2016 10:49:59,0,0.01,0.53,776.5,40.1,0,0.039,2.301
BasinCreek061316_304,BC-CJ,1213580,2304329,13-06-2016 10:53:46,0,0.01,0.18,775.8,40.2,0,0.053,0.77
BasinCreek061316_305,BC-CJ,1213745,2304331,13-06-2016 11:00:29,0,0.01,0.03,776.2,40.3,0,0.03,0.136
BasinCreek061316_306,BC-CJ,1213763,2304126,13-06-2016 11:06:10,0,0.01,0.19,777.4,40.4,0,0.043,0.818
BasinCreek061316_307,BC-CJ,1213930,2304133,13-06-2016 11:09:48,0,0.01,0.11,775.1,40.5,0,0.029,0.476
BasinCreek061316_308,BC-CJ,1213969,2303964,13-06-2016 11:14:45,0,0.01,0.12,774,40.7,0,0.055,0.501
BasinCreek061316_309,BC-CJ,1213736,2303965,13-06-2016 11:22:53,0,0.01,0.11,773.8,40.8,0,0.044,0.462
BasinCreek061316_310,BC-CJ,1213729,2303745,13-06-2016 11:27:13,0,0.01,0.12,774.2,40.7,0,0.057,0.525
BasinCreek061316_311,BC-CJ,1213535,2303944,13-06-2016 11:31:49,0,0.01,0.1,774,40.7,0,0.033,0.455
BasinCreek061316_312,BC-CJ,1213543,2303805,13-06-2016 11:36:17,0,0.01,0.03,775.1,40.8,0,0.033,0.123
BasinCreek061316_313,BC-CJ,1213354,2303954,13-06-2016 11:41:26,0,0.01,0.12,775.1,40.9,0,0.054,0.533
BasinCreek061316_314,BC-CJ,1213143,2303912,13-06-2016 11:45:50,0,0.02,0.13,775.4,40.8,0,0.067,0.561
BasinCreek061316_315,BC-CJ,1213096,2303930,13-06-2016 11:49:01,0,0.01,0,777.5,40.6,0,0.031,-0.074
BasinCreek061316_316,BC-CJ,1213144,2304099,13-06-2016 11:53:24,0,0.02,0.17,778.1,40.4,0,0.083,0.715
BasinCreek061316_317,BC-CJ,1213142,2304157,13-06-2016 11:58:00,0,0.01,0.12,778.9,40.1,0,0.029,0.527
BasinCreek061316_318,BC-CJ,1212950,2304120,13-06-2016 12:04:47,0,0.04,0.28,778.9,40,0,0.162,1.218
BasinCreek061316_319,BC-CJ,1212886,2303975,13-06-2016 12:08:25,0,0,0.05,780.1,39.9,0,0.016,0.233
BasinCreek061316_320,BC-CJ,1212749,2303999,13-06-2016 12:12:03,0,0.01,0.02,779.9,39.7,0,0.027,0.091
BasinCreek061316_321,BC-CJ,1212727,2304172,13-06-2016 12:16:16,0,0,0.12,780.6,39.5,0,-0.009,0.495
BasinCreek061316_322,BC-CJ,1212600,2304157,13-06-2016 12:20:48,0,0,0.06,781.9,39.2,0,-0.01,0.273
BasinCreek061416_323,BC-CJ,1213510,2304725,14-06-2016 10:03:48,0,0,0.05,779.4,33.3,0,0.009,0.215
BasinCreek061416_324,BC-CJ,1213578,2304757,14-06-2016 10:08:38,0,0,0.11,779.3,33.7,0,0.018,0.473
BasinCreek061416_325,BC-CJ,1213770,2304944,14-06-2016 10:14:50,0,0,0.1,779.7,34.1,0,0.013,0.419
BasinCreek061416_326,BC-CJ,1213541,2304975,14-06-2016 10:19:41,0,0,1.3,779.7,34.4,0,0.02,5.475
BasinCreek061416_327,BC-CJ,1213391,2304936,14-06-2016 10:24:10,0,0.01,0,780.6,34.7,0,0.032,-0.053
BasinCreek061416_328,BC-CJ,1213562,2305109,14-06-2016 10:32:32,0,0.01,0.05,782.1,35.6,-0.36,0.022,0.229
BasinCreek061416_329,BC-CJ,1213620,2305118,14-06-2016 10:36:39,19.46,0,1.89,780.4,35.9,82.378,0.014,7.982
BasinCreek061416_330,BC-CJ,1213782,2305113,14-06-2016 10:42:26,0,0,0.08,780.6,36.5,-1.075,0.021,0.352
BasinCreek061416_331,BC-CJ,1213761,2305347,14-06-2016 10:48:49,0,0.01,0.06,781.1,37.1,-0.379,0.028,0.249
BasinCreek061416_332,BC-CJ,1213595,2305360,14-06-2016 10:57:57,0,0.01,0.48,782.4,37.6,0,0.037,2.034
BasinCreek061416_333,BC-CJ,1213509,2305524,14-06-2016 11:01:52,10.61,0,0.56,783.1,37.6,45.032,0.021,2.357
BasinCreek061416_334,BC-CJ,1213390,2305541,14-06-2016 11:05:32,0,0.02,0.65,784.2,37.8,0,0.082,2.746
BasinCreek061416_335,BC-CJ,1213366,2305702,14-06-2016 11:09:41,0,0,0.18,784.1,38,0,0.008,0.753
BasinCreek061416_336,BC-CJ,1213446,2305693,14-06-2016 11:13:04,0,0.01,0.44,785.2,38.1,-0.001,0.032,1.884
BasinCreek061416_337,BC-CJ,1213600,2305721,14-06-2016 11:17:01,0,0.01,0.09,785,38.3,-0.148,0.047,0.389
BasinCreek061416_338,BC-CJ,1213355,2305379,14-06-2016 11:25:22,12.47,0,1.15,786.2,38.6,52.881,0.011,4.875
BasinCreek061416_339,BC-CJ,1213313,2305360,14-06-2016 11:31:21,33.51,0,3.3,783.2,38.7,142.638,0.019,14.04
BasinCreek061416_340,BC-CJ,1213397,2305157,14-06-2016 11:38:49,0,0,0.28,783.2,39.1,-0.001,0.014,1.187
BasinCreek061416_341,BC-CJ,1213171,2304986,14-06-2016 11:50:03,0,0,0,781.9,40,-1.288,0.014,0.021
BasinCreek061416_342,BC-CJ,1213174,2305109,14-06-2016 11:58:26,0,0.01,0,783,40.5,0,0.035,0.009
BasinCreek061416_343,BC-CJ,1213175,2305375,14-06-2016 12:05:19,0,0.01,2.48,785.2,40.9,-0.299,0.022,10.602
BasinCreek061416_344,BC-CJ,1213018,2305234,14-06-2016 12:11:11,0,0,0.12,784.7,41.2,-0.958,0.015,0.508
BasinCreek061416_345,BC-CJ,1212962,2305374,14-06-2016 12:19:54,0,0.01,0.92,785.9,41.3,-0.001,0.027,3.923
BasinCreek061416_346,BC-CJ,1212830,2305338,14-06-2016 12:47:27,0,0.01,0.81,787,40.3,-0.972,0.034,3.453
BasinCreek061416_347,BC-CJ,1212779,2305354,14-06-2016 12:51:56,210.16,0,7.39,785.2,40.1,896.417,0.012,31.522
BasinCreek061416_348,BC-CJ,1212804,2305493,14-06-2016 12:57:38,2.79,0,0.82,785,40.1,11.924,0.012,3.508
BasinCreek061416_349,BC-CJ,1212771,2305506,14-06-2016 13:01:14,0.53,0,0.6,786.7,40.2,2.243,0.017,2.556
BasinCreek061416_350,BC-CJ,1212740,2305143,14-06-2016 13:11:26,0,0,0.34,787.5,40.9,-0.925,0.013,1.43
BasinCreek061416_351,BC-CJ,1212671,2305113,14-06-2016 13:16:53,0,0.01,0.94,782.4,41.1,-0.001,0.054,4.055
BasinCreek061416_352,BC-CJ,1212732,2304975,14-06-2016 13:21:51,3.94,0.01,4.27,782.7,41.2,16.913,0.034,18.334
carbonJunction060116_01,BC-CJ,1215001,2309940,1/6/16 11:50,0,0,0,805.3,37.1,0,0.004,-0.27
carbonJunction060116_02,BC-CJ,1215012,2310096,1/6/16 12:00,0,0,0.41,805.6,38.6,0,0.012,1.686
carbonJunction060116_03,BC-CJ,1214944,2309761,1/6/16 12:10,0,0,0.19,804.2,39.9,-4.754,0.015,0.781
carbonJunction060116_04,BC-CJ,1214781,2309640,1/6/16 12:17,0,0.01,0,804.2,40.5,0,0.045,-0.015
carbonJunction060116_05,BC-CJ,1214688,2309661,1/6/16 12:22,255.45,0.01,2.76,803.7,40.8,1066.903,0.047,11.513
carbonJunction060116_06,BC-CJ,1214655,2309768,1/6/16 12:30,1468.58,0,7.7,804.2,41.2,6137.564,-0.001,32.169
carbonJunction060116_07,BC-CJ,1214495,2309769,1/6/16 12:40,0,0,0.18,802.8,41.6,-0.946,0,0.77
carbonJunction060116_08,BC-CJ,1214455,2309804,1/6/16 12:44,142.95,0,2.04,802.8,41.9,599.778,0,8.549
carbonJunction060116_09,BC-CJ,1214437,2309805,1/6/16 12:50,312.89,0,0.84,802.8,42.2,1314.076,0,3.546
carbonJunction060116_10,BC-CJ,1214450,2309832,1/6/16 12:57,1.76,0,0.92,802.9,42.9,7.407,0,3.852
carbonJunction060116_11,BC-CJ,1214353,2309966,1/6/16 13:04,0,0,0.05,802.9,43.8,0,0,0.202
carbonJunction060116_12,BC-CJ,1214184,2309959,1/6/16 13:12,0,0,0.06,803,44.4,0,0,0.237
carbonJunction060116_13,BC-CJ,1214203,2309781,1/6/16 13:16,0,0,0.1,802,44.6,0,0,0.428
carbonJunction060116_14,BC-CJ,1214350,2309562,1/6/16 13:22,0,0,0.06,800.5,44.9,0,0,0.24
carbonJunction060116_15,BC-CJ,1214361,2309367,1/6/16 13:30,0,0,0.02,797.8,45,-0.19,0,0.095
carbonJunction060116_16,BC-CJ,1214337,2309088,1/6/16 13:38,0,0,0.18,795.8,44.7,-0.665,-0.033,0.765
carbonJunction060116_17,BC-CJ,1214187,2308993,1/6/16 13:48,0,0,0.02,793.9,43.5,-2.133,-0.016,0.1
carbonJunction060116_18,BC-CJ,1214139,2308747,1/6/16 13:56,0,0,0.01,790.9,42.2,-0.012,0,0.034
carbonJunction060116_19,BC-CJ,1214383,2308803,1/6/16 14:07,0,0.01,0.26,791.2,40.2,0,0.026,1.092
carbonJunction060116_20,BC-CJ,1214605,2308916,1/6/16 14:17,0,0,0.21,795,39.3,0,-0.003,0.871
carbonJunction060116_21,BC-CJ,1214780,2308989,1/6/16 14:23,0,0,0.13,796,38.6,0,-0.001,0.552
carbonJunction060116_22,BC-CJ,1214380,2308976,1/6/16 14:45,0,0,0.18,797.7,37.3,0,-0.001,0.751
carbonJunction060116_23,BC-CJ,1214566,2309164,1/6/16 15:01,0,0,0.38,793.8,36.6,0,0.001,1.589
carbonJunction060116_24,BC-CJ,1214555,2309358,1/6/16 15:09,0,0.01,0.41,797.5,36.1,0,0.032,1.68
carbonJunction060116_25,BC-CJ,1214533,2309584,1/6/16 15:46,0,0,0.66,799.1,36.3,0,0,2.737
carbonJunction060116_26,BC-CJ,1214374,2309748,1/6/16 15:53,0,0,0.44,799.1,36.3,0,0.012,1.815
carbonJunction060116_27,BC-CJ,1214532,2309685,1/6/16 15:59,10.27,0,0.85,800.2,36.2,42.453,0.001,3.51
carbonJunction060116_28,BC-CJ,1214564,2309716,1/6/16 16:05,0,0,0.04,801.1,36.2,-0.374,-0.002,0.176
carbonJunction060216_29,BC-CJ,1214916,2309525,2/6/16 11:13,0,0,0.24,805.7,33.9,0,0.002,0.988
carbonJunction060216_30,BC-CJ,1214859,2309416,2/6/16 11:18,0,0,0.1,805.7,35.1,0,0.005,0.421
carbonJunction060216_31,BC-CJ,1214728,2309396,2/6/16 11:24,0,0,0.68,804.6,36.7,-0.088,0,2.796
carbonJunction060216_32,BC-CJ,1214685,2309394,2/6/16 11:28,3.58,0,0.7,803.8,37.4,14.769,0.004,2.877
carbonJunction060216_33,BC-CJ,1214664,2309361,2/6/16 11:32,9.23,0,1.06,803.7,38.1,38.222,0.005,4.397
carbonJunction060216_34,BC-CJ,1214656,2309312,2/6/16 11:37,1.76,0,0.57,803,38.8,7.311,0.001,2.354
carbonJunction060216_35,BC-CJ,1214666,2309338,2/6/16 11:40,129.82,0,24.31,802.7,39.2,540.085,0.007,101.146
carbonJunction060216_36,BC-CJ,1214771,2309160,2/6/16 11:48,0,0,0.14,803.3,39.9,0.001,0.001,0.603
carbonJunction060216_37,BC-CJ,1214751,2308755,2/6/16 11:57,0,0,0.11,802.2,40.9,-0.357,0.005,0.449
carbonJunction060216_38,BC-CJ,1214651,2308804,2/6/16 12:01,0,0,0.23,797.6,41.1,0,0.004,0.949
carbonJunction060216_39,BC-CJ,1214735,2308577,2/6/16 12:09,0,0,0,798.3,41.7,0,0.005,0.019
carbonJunction060216_40,BC-CJ,1214992,2308320,2/6/16 12:19,0,0,0.29,795.9,42.6,-0.26,0.012,1.209
carbonJunction060216_41,BC-CJ,1214944,2308151,2/6/16 12:27,0,0,0.43,793.6,43.1,-0.55,0.008,1.842
carbonJunction060216_42,BC-CJ,1214987,2307953,2/6/16 12:34,0,0,0.01,792,43.5,-0.033,0.006,0.055
carbonJunction060216_43,BC-CJ,1214998,2307769,2/6/16 12:40,0,0,0.23,790.2,43.6,-0.033,0.004,1.006
carbonJunction060216_44,BC-CJ,1215184,2307741,2/6/16 12:48,0,0,0.15,789.8,43.9,-0.094,0.003,0.623
carbonJunction060216_45,BC-CJ,1215366,2307523,2/6/16 12:53,0,0,0.2,788.3,44.2,-0.188,0.007,0.86
carbonJunction060216_46,BC-CJ,1215389,2307341,2/6/16 13:00,0,0,0.12,785.6,44.6,-0.044,0.009,0.516
carbonJunction060216_47,BC-CJ,1215401,2307153,2/6/16 13:05,0,0,0.14,784.3,45,0,0.007,0.595
carbonJunction060216_48,BC-CJ,1215363,2307019,2/6/16 13:12,9.63,0,3.35,783.4,45.3,41.848,0.006,14.562
carbonJunction060216_49,BC-CJ,1215334,2306735,2/6/16 13:27,0,0,0.39,781.7,45.5,-0.002,0.001,1.713
carbonJunction060216_50,BC-CJ,1215188,2306813,2/6/16 13:38,0,0,0.28,780.3,45.8,-0.001,0.014,1.219
carbonJunction060216_51,BC-CJ,1215111,2306981,2/6/16 13:48,1.03,0,0.71,779.4,46,4.511,0.005,3.118
carbonJunction060216_52,BC-CJ,1214918,2307138,2/6/16 14:01,0,0,0.09,778.8,46,0,0.01,0.387
carbonJunction060216_53,BC-CJ,1214899,2307203,2/6/16 14:07,0,0,0.84,779.4,46,-2.147,0.006,3.68
carbonJunction060216_54,BC-CJ,1214775,2307174,2/6/16 14:11,0,0,0.17,779.9,46,-0.002,0.006,0.765
carbonJunction060216_55,BC-CJ,1214908,2307339,2/6/16 14:20,0,0,2.24,779.6,45.9,0,0.012,9.822
carbonJunction060216_56,BC-CJ,1214720,2307371,2/6/16 14:27,0,0,0.05,781.1,45.7,-0.013,0.005,0.214
carbonJunction060216_57,BC-CJ,1214737,2307558,2/6/16 14:32,0,0,0.18,781.1,45.5,0,0.006,0.769
CarbonJunction060316_58,BC-CJ,1214381,2308609,3/6/16 10:51,0,0,0.28,799.6,33.4,0,-0.062,1.141
CarbonJunction060316_59,BC-CJ,1214566,2308605,3/6/16 10:57,0,0,9.73,799.6,34.7,0,-0.097,40.068
